Tavg,RH_avg,RR
27.2,75.0,1.4
27.3,76.0,0.0
25.8,86.0,0.0
26.2,82.0,16.5
25.9,87.0,33.4
25.4,88.0,0.2
25.7,88.0,37.6
26.4,90.0,45.9
26.3,86.0,1.3
25.3,91.0,3.4
25.8,85.0,8.9
25.7,87.0,21.3
26.2,82.0,0.0
26.7,81.0,8.6
26.8,80.0,0.0
26.1,81.0,0.0
25.5,90.0,54.6
25.4,87.0,15.6
25.9,82.0,3.5
24.8,92.0,7.0
24.1,92.0,10.9
26.4,80.0,33.5
25.8,84.0,43.5
25.3,87.0,40.8
25.5,87.0,16.6
25.3,88.0,22.8
26.4,85.0,3.8
26.7,82.0,0.0
26.2,82.0,0.3
26.9,77.0,2.0
25.6,89.0,1.5
26.3,86.0,11.1
26.4,88.0,9.6
26.1,85.0,4.9
26.0,90.0,4.0
25.8,88.0,32.9
25.3,87.0,0.0
25.7,86.0,6.6
24.5,92.0,39.3
26.7,78.0,12.4
25.9,86.0,4.0
26.4,83.0,0.0
26.7,80.0,1.1
26.6,84.0,0.0
26.9,80.0,0.0
26.4,78.0,0.0
26.9,80.0,3.4
27.3,82.0,0.0
26.6,82.0,0.0
26.8,78.0,0.0
26.6,78.0,3.0
26.7,80.0,0.0
27.8,81.0,0.0
26.4,85.0,0.0
25.6,86.0,76.0
26.0,86.0,8888.0
25.9,87.0,6.3
27.0,83.0,8.0
26.8,85.0,0.0
27.0,83.0,1.1
26.3,85.0,0.0
25.8,86.0,0.0
25.4,88.0,51.9
24.4,92.0,45.0
26.4,83.0,0.0
26.0,86.0,0.0
26.4,84.0,13.4
26.7,84.0,2.2
26.3,88.0,2.0
27.1,83.0,0.0
27.3,84.0,0.0
27.0,81.0,0.3
27.0,82.0,0.0
27.5,82.0,0.0
27.7,80.0,0.0
27.3,83.0,0.0
27.3,83.0,0.0
26.6,86.0,7.6
27.6,83.0,13.2
27.0,87.0,5.0
26.0,88.0,62.4
26.0,91.0,5.0
26.8,84.0,2.4
27.7,83.0,0.0
27.4,85.0,0.0
27.7,83.0,0.0
28.1,81.0,0.0
28.2,84.0,5.6
27.5,85.0,0.0
27.6,86.0,0.0
27.9,85.0,0.2
27.9,88.0,11.6
27.5,85.0,0.0
27.7,88.0,0.2
28.2,85.0,0.0
27.7,88.0,0.4
27.0,88.0,0.0
26.9,85.0,0.0
27.7,84.0,0.0
27.0,87.0,16.7
27.4,86.0,0.0
27.0,88.0,0.0
26.8,89.0,64.8
26.8,90.0,3.5
26.6,91.0,8.3
27.2,82.0,4.1
29.0,73.0,0.2
28.1,79.0,0.0
27.5,83.0,0.4
29.9,72.0,2.8
27.0,78.0,0.0
27.1,73.0,0.0
27.6,67.0,0.0
25.8,75.0,0.0
26.0,72.0,0.0
25.4,78.0,0.0
26.4,76.0,0.0
26.5,78.0,0.0
26.0,78.0,0.0
